asn,org,country,vpn_signals,tor_signals,public_feed_overlap,confidence,sources
212238,CDNEXT,GB,5225,10,3,medium,"asn-vpn-multi-provider,bad-cidrs-v4,tor-radar-network"
9009,M247,RO,4861,52,3,medium,"asn-vpn-multi-provider,bad-cidrs-v4,tor-radar-network"
62651,NETPROTECT-62651,US,3011,0,1,low,asn-vpn-multi-provider
62240,CLOUVIDER Clouvider - Global ASN,GB,2305,4,3,medium,"asn-vpn-multi-provider,bad-cidrs-v4,tor-radar-network"
60068,CDN77 _,GB,1217,0,2,low,"asn-vpn-multi-provider,bad-cidrs-v4"
137409,GSLNETWORKS-AS-AP GSL Networks Pty LTD,AU,1098,0,1,low,asn-vpn-multi-provider
36849,1st Amendment Encrypted Openness LLC,US,0,1004,1,low,tor-radar-network
16276,OVH,FR,148,621,3,medium,"asn-vpn-multi-provider,bad-cidrs-v4,tor-radar-network"
11878,TZULO,US,599,104,2,low,"asn-vpn-multi-provider,tor-radar-network"
25369,BANDWIDTH-AS,GB,665,0,2,low,"asn-vpn-multi-provider,bad-cidrs-v4"
215125,Church of Cyberology,NL,0,630,1,low,tor-radar-network
49453,GLOBALLAYER,NL,624,1,3,medium,"asn-vpn-multi-provider,bad-cidrs-v4,tor-radar-network"
140952,"STL-AS-AP Strong Technology, LLC",US,562,0,1,low,asn-vpn-multi-provider
174,COGENT-174,US,476,17,3,medium,"asn-vpn-multi-provider,bad-cidrs-v4,tor-radar-network"
14061,DIGITALOCEAN-ASN,US,189,151,3,medium,"asn-vpn-multi-provider,bad-cidrs-v4,tor-radar-network"
24940,HETZNER-AS,DE,70,375,3,medium,"asn-vpn-multi-provider,bad-cidrs-v4,tor-radar-network"
22781,STRTEC,US,408,0,1,low,asn-vpn-multi-provider
197540,NETCUP-AS netcup GmbH,DE,25,315,3,medium,"asn-vpn-multi-provider,bad-cidrs-v4,tor-radar-network"
60729,Stiftung Erneuerbare Freiheit,DE,0,322,1,low,tor-radar-network
21859,ZEN-ECN,US,295,3,3,medium,"asn-vpn-multi-provider,bad-cidrs-v4,tor-radar-network"
36352,AS-COLOCROSSING,US,168,128,3,medium,"asn-vpn-multi-provider,bad-cidrs-v4,tor-radar-network"
8560,IONOS SE,DE,0,291,2,low,"bad-cidrs-v4,tor-radar-network"
53667,PONYNET,US,97,181,3,medium,"asn-vpn-multi-provider,bad-cidrs-v4,tor-radar-network"
39287,ABSTRACT,RO,244,7,2,low,"asn-vpn-multi-provider,tor-radar-network"
32489,AMANAHA-NEW,CA,233,1,2,low,"asn-vpn-multi-provider,tor-radar-network"
