asn,org,country,total_prefixes,signal_count,source_count,vpn_signals,tor_signals,malware_signals,drop_list_signals,phishing_signals,public_feed_signals,public_feed_overlap,signal_density,confidence,sources
212238,CDNEXT,GB,0,5240,3,5225,7,0,0,0,8,3,5240.0000,medium,"asn-vpn-multi-provider,bad-cidrs-v4,tor-radar-network"
9009,M247,RO,0,4911,3,4861,41,0,0,0,9,3,4911.0000,medium,"asn-vpn-multi-provider,bad-cidrs-v4,tor-radar-network"
62651,NETPROTECT-62651,US,0,3011,1,3011,0,0,0,0,0,1,3011.0000,low,asn-vpn-multi-provider
62240,CLOUVIDER Clouvider - Global ASN,GB,0,2319,3,2305,6,0,0,0,8,3,2319.0000,medium,"asn-vpn-multi-provider,bad-cidrs-v4,tor-radar-network"
60068,CDN77 _,GB,0,1225,2,1217,0,0,0,0,8,2,1225.0000,low,"asn-vpn-multi-provider,bad-cidrs-v4"
36849,1st Amendment Encrypted Openness LLC,US,0,1153,1,0,1153,0,0,0,0,1,1153.0000,low,tor-radar-network
137409,GSLNETWORKS-AS-AP GSL Networks Pty LTD,AU,0,1099,2,1098,1,0,0,0,0,2,1099.0000,low,"asn-vpn-multi-provider,tor-radar-network"
16276,OVH,FR,0,838,3,148,636,0,0,0,54,3,838.0000,medium,"asn-vpn-multi-provider,bad-cidrs-v4,tor-radar-network"
11878,TZULO,US,0,704,2,599,105,0,0,0,0,2,704.0000,low,"asn-vpn-multi-provider,tor-radar-network"
25369,BANDWIDTH-AS,GB,0,666,2,665,0,0,0,0,1,2,666.0000,low,"asn-vpn-multi-provider,bad-cidrs-v4"
215125,Church of Cyberology,NL,0,630,1,0,630,0,0,0,0,1,630.0000,low,tor-radar-network
49453,GLOBALLAYER,NL,0,627,3,624,1,0,0,0,2,3,627.0000,medium,"asn-vpn-multi-provider,bad-cidrs-v4,tor-radar-network"
140952,"STL-AS-AP Strong Technology, LLC",US,0,562,1,562,0,0,0,0,0,1,562.0000,low,asn-vpn-multi-provider
174,COGENT-174,US,0,502,3,476,19,0,0,0,7,3,502.0000,medium,"asn-vpn-multi-provider,bad-cidrs-v4,tor-radar-network"
62744,QUINTEX,US,0,489,2,89,400,0,0,0,0,2,489.0000,low,"asn-vpn-multi-provider,tor-radar-network"
24940,HETZNER-AS,DE,0,481,3,70,395,0,0,0,16,3,481.0000,medium,"asn-vpn-multi-provider,bad-cidrs-v4,tor-radar-network"
14061,DIGITALOCEAN-ASN,US,0,475,3,189,162,0,0,0,124,3,475.0000,medium,"asn-vpn-multi-provider,bad-cidrs-v4,tor-radar-network"
22781,STRTEC,US,0,408,1,408,0,0,0,0,0,1,408.0000,low,asn-vpn-multi-provider
36352,AS-COLOCROSSING,US,0,403,3,168,231,0,0,0,4,3,403.0000,medium,"asn-vpn-multi-provider,bad-cidrs-v4,tor-radar-network"
197540,NETCUP-AS netcup GmbH,DE,0,339,3,25,312,0,0,0,2,3,339.0000,medium,"asn-vpn-multi-provider,bad-cidrs-v4,tor-radar-network"
60729,Stiftung Erneuerbare Freiheit,DE,0,321,1,0,321,0,0,0,0,1,321.0000,low,tor-radar-network
21859,ZEN-ECN,US,0,300,3,295,1,0,0,0,4,3,300.0000,medium,"asn-vpn-multi-provider,bad-cidrs-v4,tor-radar-network"
8560,IONOS SE,DE,0,294,2,0,287,0,0,0,7,2,294.0000,low,"bad-cidrs-v4,tor-radar-network"
